date,askingPrice,revenueMultiple,listingHeadline,listingType,totalRevenueAnnual,totalProfitAnnual,totalGrowthAnnual,location,dateFounded,about,revenue,customers,keywords,annualProfit,growthAnnual,techStack,businessModel,competitors,weeklyViews
2022-12-02,1000000,4.2,Low-code app/platform for building and tenant management tools,premium,240000,0,25,United Kingdom,2017-06-01,"SaaS low code app with $240,000 in TTM revenue that delivers engagement-focused apps to property, workforce, community organizations, and retail. Raised over Â£2,500,000, but has failed to scale against investment expectations. Multi-Sector scale-up potential.

âœ… $240,000 in TTM revenue
âœ… $30,000 in revenue last month
âœ… Competitors: Spike global, Bubble.io, Poq
",250000,10-100,"Low code, Mobile Apps",0,25,"ReactJS
Java,Open API, AWS, Firebase","Customers are configured a branded mobile app. Pricing includes:

- Set up cost (typically starting at $15,000)
- Licence fee covering usage, hosting, support and updates (typically starting at $2000)","['Spike global', 'Bubble.io', 'Poq']",4
2022-11-29,3500000,5.4,Digital freight and logistics management software,platinum,650000,110000,100,United States,2018-04-01,"Profitable SaaS with $650,000 in TTM revenue and $110,000 in TTM profit that is a single centralised platform with multiple applications synchronised for all parties involved in the supply chain, Global Transportation Management System (TMS) that supports all modes of transportation.

âœ… $650,000 in TTM revenue
âœ… $110,000 in TTM profit
âœ… $55,000 in revenue last month
âœ… $9,000 in profit last month
âœ… Competitors: Decartes, Bringg, Fareye, Convoy

The TMS Software enables shippers, third-party logistics providers (3PLs), Freight brokers, freight forwarders, retailers the ability to procure, plan, optimize, execute, and settle their cargo movements with full control-dispatcher visibility.",650000,10-100,"Transport management, supply chain management, digital freight network ",110000,100,Mernstack,"1.Subscription per truck license - model 
2. Per shipment model ","['Decartes', 'Bringg', 'Fareye', 'Convoy']",38
2022-11-25,1500000,2,"SE Asia eComm tech & services for global brands, agencies, and marketplace with $768,000 TTM Revenue",platinum,746182,-116751,100,United States,2018-11-01,"SaaS with $768,000 in TTM revenue and $78,000 in revenue last month that features a Data/Analytics, & offshore eCommerce Services provider. This business is primed for growth with a leading marketplace eCommerce analytics platform (built by a Google engineer) & a high-quality, low-cost operating team in Philippines, the business had strong profitability (25%+ SDE), but the owners invested heavily in 2023 into building a custom data/analytics platform for tier-1/tier-2 brand clients. 

âœ… $768,000 in TTM revenue
âœ… $78,000 in revenue last month
âœ… $18,000 in profit last month
âœ… Competitors: Edge by Ascential, Profitero, GroupM, Publicis",650000,100-1000,"eCommerce SAAS, eCommerce Data, eCommerce Analytics, Philippines, Southeast Asia, SE Asia, Lazada, Shopee, Amazon",-116751,100,"Googlecloud,Golang,Rubyrails,AWS,Python","The three core products include 1) Enterprise Analytics SAAS (Insight360) - $1,000-$5,000 per month, targeting tier-1 & tier-2 brands. 2) SME SAAS - whitelabel $90,000/year current revenue via agencies & $100-$200/month for SMEs. 3) eCommerce Services - $1,000-$10,000 monthly retainer for eCommerce data/analytics and management (paid ads, SEO/CRO).","['Edge by Ascential', 'Profitero', 'GroupM', 'Publicis']",1
2022-11-16,1600000,1.2,Community management platform for financial trading & crypto communities,platinum,1300000,100000,4,United States,2018-03-01,"Profitable SaaS with $1,300,000 in TTM revenue and $100,000 in TTM profit, offering the best community management platform for financial communities. By providing a built-in billing and subscription mechanism, it streamlines this problematic subscription process and keeps a % revenue split on transactions. Users on the platform can purchase access directly from within the platform or from checkout links embedded into team creators' websites.

âœ… $1,300,000 in TTM revenue
âœ… $100,000 in TTM profit
âœ… $32,000 in revenue last month
âœ… $3,000 in profit last month
âœ… Competitors: Stocktwits, Discord, Symphony, Commonstock

What most communication platforms and tools fail to deliver, is the ability to offer users pay-to-access chatrooms and services without requiring effort from the team owners, such as integrating third-party services, and payment processors. This is where this tool shines.",100000,10-100,"SaaS, Fintech, Communication Platform, Community Management, Trading / Investing, Personal Finance",100000,4,".Net, Angular, NodeJS",SaaS and Revenue Sharing. Ability to add additional revenue streams (in platform marketplace),"['Stocktwits', 'Discord', 'Symphony', 'Commonstock', 'Darqube', 'Pelican Trading', 'Atom Finance', 'Currensee Global']",5
2022-11-15,1500000,1.8,"Platform for businesses to build community, loyalty, rewards perks, & more",platinum,830000,25000,20,Australia,2008-01-01,"SaaS with $360,000 in ARR and $830,000 in TTM revenue that drives network growth through leveraging social, gamification, and loyalty concepts. Its mission is to help businesses engage customers to build loyalty, engagement, and fandom. It provides all the building blocks as a result of 10 years of R&D.  

âœ… $830,000 in TTM revenue
âœ… $25,000 in TTM profit
âœ… $50,000 in revenue last month
âœ… Tech: AWS, MySQL, Node.JS, PHP
âœ… Competitors: Monterosa, Yinzcam

",360000,10-100,"Sport, entertainment and media. , Global opp.",25000,20,"AWS, MySQL, NodeJS, PHP","B2B charging monthly subscription and additional transaction fees for payments, messaging. Could be evolved to full usage based model on API consumption.","['Monterosa', 'Yinzcam']",6
2022-11-15,1500000,0.4,Platform for connecting retail traders with funds and brokers,platinum,3346152,975972,100,Canada,2020-11-01,"Profitable SaaS with CA$3,346,152 M in TTM revenue and CA$975,972 in TTM profit is a well automated platform business connecting retail traders to funds and brokers.The business makes money by charging a one-time fee for connecting traders to funds and brokers.The technology stack is built on Mern Stack, and software updates/maintenance are handled by a CTO and 2 junior devs. 

âœ… CA$3,346,152 in TTM revenue
âœ… CA$975,972 in TTM profit
âœ… CA$134,576 in revenue last month
âœ… CA$29,431 in profit last month
âœ… Competitors: Multiple mobile apps

We have made an in-house discount token called TCT - it's what mainly grew our growth. Users could play games in our ecosystem to gain them and use them in our eco shop for perks as well as burn them for discounts. This has positioned the brand also to be able one day launch this on an exchange as a utility token. 
",3346152,more than 100000,"Trading,  Education Platform, Forex, Crypto, Stocks, Financial Education, Finance",975972,100," Mernstack, CTO",The business makes money by charging a one-time fee for connecting traders to funds and brokers.,['Trading Education Platforms'],34
2022-11-15,9000000,6.4,"Leading privacy, risk, and compliance SaaS for companies",platinum,1410000,475000,15,United States,2013-05-01,"Profitable SaaS with $1,400,000 in TTM revenue and in $475,000 TTM profit  that offers a platform for helping organizations manage HIPAA, GDPR, CCPA, and more. Compliance with privacy laws has always been complicated, confusing, and time-consuming but as more laws and regulations have been added over the years the platform has continued to build tools to help companies simplify this process.

âœ… $1,400,000 in TTM revenue
âœ… $475,000 in TTM profit
âœ… $138,000 in revenue last month
âœ… $16,000 in profit last month
âœ… Competitors: Vanta, Secureframe, Drata, Tugboat Logic, Compliancy Group",1384000,100-1000,"compliance, saas, healthcare, b2b",475000,15,"Rubyrails, Javascript, Heroku, AWS",SaaS annual and monthly subscription pricing with plans starting at $399/month and increasing for enterprise customers.,"['Vanta', 'Secureframe', 'Drata', 'Tugboat Logic', 'Compliancy Group']",15
2022-11-14,3500000,5.4,"Analyze data, build data models, and automate workflows with the power of AI.",platinum,650000,500000,22,United States,2017-02-01,"A SaaS platform designed for simplicity, enabling non-technical users to address all their analytics needs. From basic to advanced analytics, our Natural Language Tool has you covered. Additionally, we offer end-to-end data workflow management, making it an exceptionally flexible solution.

âœ… $720,000 in ARR
âœ… 82% Gross Margin
âœ… 20% user growth vs last month
âœ… Raised $5,000,000 from business angels",744000,10-100,"Analytics, Data Science, Data Workflows, Data Pipelines, AI",500000,22,"GCP, Python, ReactJS",SaaS,"['Google Looker', 'Amplitude', 'Data Studio']",16
2022-11-11,3800000,5.8,SaaS tool designed to help doctors attract and retain patients.,platinum,659000,350000,317,Spain,2018-02-01,"Profitable SaaS with $659,000 in TTM revenue and $350,000 in TTM profit is a software tool aimed at promoting the generation and management of patients for doctors and clinics. This companyâ€™s mission is to help medical specialists thrive in today's digital world, by assisting in the onboarding and retention of new digitally native patients. This companyâ€™s  product is a SaaS platform covering a suite of e-commerce, customer tracking and sales and marketing tools fully customized for the Healthcare sector.

âœ… $659,000 in TTM revenue
âœ… $350,000 in TTM profit
âœ… $20,000 in revenue last month
âœ… $5,000 in profit last month
âœ… Competitors: Nexhealth, Patientpop,Topdoctors, Doctoralia

This company started by identifying a huge problem with a must-have solution within a massive market that had no winners and high fragmentation. This companyâ€™s go-to-market is very simple, since we build software and market it. At the moment, we only sell in Spain and the value proposition is based on patient qualification, together with an array of ancillary products as well as on being the platform that provides and collects the most data from both patient and doctor, allowing for a more precise matching system, thus driving above industry average satisfaction ratios. 
",300000,100-1000,"Spain, Healthtech, Saas, Health",350000,317,"AWS, Symfony,Vue","B2B SaaS charging a monthly recurring fee on one single pricing tier: â‚¬100 p/m.
We also charge a variable take rate from each discharged patient's treatment (on average 15%)","['Nexhealth', 'Patientpop', 'Topdoctors', 'Doctoralia']",19
2022-10-20,4500000,1.9,Consumer credit & dispute management platform for increasing scores,platinum,2400000,0,15,United States,2018-01-01,"SaaS with $2,400,000 in TTM revenue and $210,000 in revenue last month that provides consumers an easy-to-use interface to handle all aspects of Credit Dispute management including reviewing credit scores and reports, disputing and resolving inaccuracies, as well as monitoring and protecting credit data. 

âœ… $2,400,000 in TTM revenue
âœ… $210,000 in revenue last month
âœ… Bootstrapped
âœ… Tech: Javascript, React, Node.js, Heroku, AWS 
âœ… Competitors: Creditrepaircloud, Scoreceo, Disputesuite

The solution is sold as a three-tier offering primarily through telesales and direct online purchases. In addition to the core credit repair services, the portal offers consumers other credit-related products that are synergistic and helpful in improving their creditworthiness.",0,1000-10000,"Credit Repair, Credit Management,  Consumer Finance, Personal Credit Management",0,15,"Javascript, ReactJS, NodeJS, Heroku, AWS ",B2C with 3 tiered pricing model. LTV from $30-$550.,"['Creditrepaircloud', 'Scoreceo', 'Disputesuite']",8
2022-10-18,3600000,6,Incredibly Efficient Data and Storage Enablement Platform,platinum,600000,350000,100,United States,2021-10-01,"Profitable SaaS with $600,000 in TTM revenue and $350,000 in TTM profit that delivers API driven high-performant data and storage management tools that natively connect with AWS S3, Azure, GCP, Wasabi, Storj and over 45 cloud and on-premise storage services. 

âœ… $600,000 in TTM revenue
âœ… $350,000 in TTM profit
âœ… $55,000 in revenue last month
âœ… $30,000 in profit last month
âœ… Private Financing of $300,000 
âœ… Competitors: â€‹MSP360, Movebot, Flexify, LucidLink, DryvIQ

We empower data storage customers of all sizes to move between providers more cost efficiently than ever. Drag and drop your 50 terabytes or 2 petabytes between one provider to another with complete assurance that no object is ever left behind. ",600000,10-100,"Data management, Backup, Cloud Storage, Data Migration, Cloud to cloud migration, Cloud NAS, AI, Machine Learning",350000,100,".Net 
ReactJS","Licensing for Storage Providers & MSP Partners
Subscription and SaaS pricing for end users
","['www.MSP360.com', 'www.movebot.io', 'www.flexify.io', 'www.lucidlink.com', 'https://dryviq.com/']",8
2022-10-18,1200000,7.1,"Generate more revenue for dispensaries via abandoned carts, inactive customers and Google reviews.",premium,170000,140,9000,United States,2021-03-01,"Profitable SaaS with $170,000 in TTM revenue and $140,000 in TTM profit that is a marketing and retail automation tool for cannabis dispensaries that works with the Dutchie & I Heart Jane ordering system. The tool automates the process of retargeting customers who have either abandoned shopping carts or haven't ordered for a period of time as well as to generate Google Reviews. 

âœ… $170,000 in TTM revenue
âœ… $140,000 in TTM profit 
âœ… $20,000 in revenue last month
âœ… $18,000 in profit last month
âœ… Competitors: Alpine IQ",240000,10-100,"Cannabis, automation, marketing, SaaS",140,9000,"AWS, SendGrid","SaaS, we take 5% of recovered revenue from the tool per month.","['Alpine IQ - Loyalty-based only, we target all menu subscribers']",2
2022-10-18,5000000,6.4,Digital concierge solution provider allowing its users to outsource their day-to-day chores,platinum,776092,0,66,France,2015-06-01,"SaaS with $824,000 in TTM revenue and $65,000 in revenue last month that offers a fully digitized B2B2C solution helping companies promote their employee's well being (Corporate Concierge) and improve customer retention (Brand Concierge). 

âœ… $824,000 in TTM revenue
âœ… $65,000 in revenue last month
âœ… 300K of Debt
âœ… Competitors: Circles / Sodexo, John Paul/Accor, One Consciergerie",1120000,10000-100000,Corporate wellness,0,66,"PHP, NodeJS, MySQL, Firebase, Vuejs, WordPress, Docker","We are in B2B2C 66 companies, 70,000 subscriptions, at 1 to 3EUR / month / subscription","['Circles / Sodexo', 'John Paul/Accor', 'One Consciergerie']",6
2022-10-17,8000000,3,Website and online marketing platform for realtors,platinum,2686402,257227,4,Canada,2014-05-01,"SaaS with $2,040,767 in TTM revenue that provides online marketing services for real estate agents across Canada and in select US markets. It leverages its in-house built technology to deliver an agency-like experience to its clients at an accessible monthly cost. It currently serves 1,100+ clients with 99.9% recurring revenues.

âœ… $2,040,767 in TTM revenue
âœ… $167,584 in revenue last month
âœ… $34,076 in profit last month
âœ… Tech: Laravel (PHP), React (JS), MariaDB, WordPress, Redis

**NOTE Figures shown in P&L Summary via connection to XERO are in CAD. Remaining figured on listing have been converted to USD**",2039422,1000-10000,"Real-estate, Real-estate tech, martech, Marketing tech",257227,4,"PHP, ReactJS, MariaDB, WordPress, Redis
","We structure our pricing across three main packages (two hidden packages also exist as save-tools). Pricing ranges from $179/$189 (annual/monthly) to $429/$459. There is also an addition setup fee and we take a small percentage cut of the ad budget we manage on behalf of our clients.

Our revenue is almost entirely (99.9%) recurring.

We charge the same dollar figure to US clients as CAN clients.","['Range of national/local competitors E.g. Realty Ninja, Real Estate Webmasters']",30
2022-10-17,3500000,5.8,Automated data capture from complex and varying layout documents,platinum,600000,510000,25,United States,2013-08-01,"Profitable SaaS with $600,000 in TTM revenue and $510,000 in TTM profit that provides a powerful yet easy to use tool to automate data entry. The toolâ€™s unique technology is able to capture data from complex and varying layout documents without the need to configure it on every single layout. As a result, an accurate and custom-tailored data capture model can be delivered to the end user in a matter of hours and at a small fraction of cost compared to typical consulting services who would offer similar service.

âœ… $600,000 in TTM revenue
âœ… $510,000 in TTM profit
âœ… $50,000 in revenue last month
âœ… $43,000 in profit last month
âœ… Competitors: AWS Textract, ABBY FlexiCapture, Hyperscience, Butler Labs

Example use cases are medical claims, patient encounters, real estate deeds and court records.",600000,10-100,"document intelligence, document ai, data extraction, data capture, document automation, Saas, Healthcare, insurance, united states, US",510000,25,"AWS,
Java,
Angular","Subscription based plus one-time configuration charges. We also offer custom consulting if requested.
Usage based: 1c to 10c per page based on volume
One-time setup fee: $95 per output column

Deep customization and integrations: $110-$200/hour","['AWS textract', 'Abbyy flexicapture', 'Hyperscience', 'Butlerlabs']",17
2022-10-03,11000000,2.2,"Healthcare IT automation focused on data abstraction, analytics, & auditing",platinum,4900000,2300000,17,United States,2018-05-01,"Profitable SaaS with $4,900,000 in TTM revenue and $2,300,000 in TTM profit that focuses on data abstraction, data auditing, analytics, warehousing, claims processing, and robotic process automation. In the private sector (over 100 hospital systems and medical associations), data abstraction is performed for hospital systems and medical associations in the cardiovascular, surgical, transplant, and cancer sectors. 

âœ… $4,900,000 in TTM revenue
âœ… $2,300,000 in TTM profit
âœ… $475,000  in revenue last month
âœ… $183,333 in profit last month
âœ… Competitors: Q-Centrix

Robotic process automation services are provided to small to large healthcare systems with IP in claims processing and Electronic Medical Record automation solutions in USA and Canada.",5700000,10-100,"Healthcare, healthcare automation, automation, data analytics, data warehousing, data auditing, government, data abstraction",2300000,17,MYSQL,"When patients have heart attacks, heart failure, stroke, and surgeries, there are over 200-450 data elements that need to be uploaded into data registries and these hospital systems will receive star ratings.  Value-based care metrics such as these are how these hospital systems will get paid.  We have created assess based on a tool that we use across 32 different registries and some registries for these hospitals and's associations.  We have also built out robotic process automation electronic medical record tools to automate different workflows.

We will go after difficult-to-get clients with significant moat and triple AAA revenue.

We charge based on a per case rate or an hourly rate.",['Q-centrix'],37
2022-10-03,10800000,5,An enterprise software solutions company specializes in AI and cloud Healthcare/Recruiting solutions,platinum,2160000,325000,450,United States,2019-04-01,"Profitable SaaS with $2,160,000 in TTM revenue and $325,000 in TTM profit that specializes in creating AI and cloud-based enterprise solutions for small and medium-sized businesses to Fortune 500 companies.Â Its driving mission is to foster human connections and business partnerships by integrating all facets of technology within an organization to create sustainable and efficient solutions.

âœ… $2,160,000 in TTM revenue
âœ… $325,000 in TTM profit
âœ… $185,000 in revenue last month
âœ… $36,000 in profit last month
âœ… Competitors: Oracle, Workday, Salesforce, SAP

The companyâ€™s track record of blending people, IT, applications, and business objectives through its technology software development skills is evident in its client list, which includes the State of California, Kaiser Permanente, General Motors, Robert Half, Ricoh Electronics, and many more.",3114000,10-100,Enterprise ERP CRM Front Office Recruiting Healthcare,325000,450,"AWS,Azure",SaaS plus implementation and integrations,"['Oracle', 'Workday', 'Salesforce ', 'SAP']",10
2022-09-17,1200000,6.3,Automated Workforce Planning tool for SME's,premium,190000,0,20,Austria,2018-02-01,"SaaS with $190,000 in TTM revenue and $10,000 in revenue last month that offers a mobile interface for employees and provides an open API that allows third party applications to use the core calculation engine also from outside. This allows us to optimize rosters according to the tenants optimization requirements. Rules (yes/no) and Strategies (best fit) can be defined individually via a modern UI.

âœ… $190,000 in TTM revenue
âœ… $10,000 in revenue last month
âœ… Tech Stack: Kotlin, Spring, Angular
âœ… Competitors: Legion, When I Work, Deputy, UKG, Workforce Software",130000,10-100,workforce optimization,0,20,"Kotlin, Spring, Angular","SaaS, price6.5â‚¬/ User/ Month","['https://legion.co/', 'https://wheniwork.com/', 'https://www.deputy.com/', 'https://www.ukg.com/', 'https://www.workforcesoftware.com/']",0
2022-08-31,1000000,5.7,Tool that help Travel Agencies grow online,premium,175000,25000,25,United Kingdom,2017-09-01,"Profitable SaaS with $175,000 in TTM revenue and $25,000 in TTM profit, that offers a travel technology firm, helping small and medium sized travel agencies have online booking engine and grow.

âœ… $175,000 in TTM revenue
âœ… $25,000 in TTM profit
âœ… $9,000 in revenue last month
âœ… $2,500 in profit last month
âœ… Competitors: Vibe.travel, Web.travel",175000,10-100,"Travel booking software, Online booking engine",25000,25,"CSS, Javascript, Bootstrap, .NET ,MYSQL","Our business model is, that we charge a setup fee of a minimum of $2500 and a monthly subscription fee of $89.","['Vibe.travel', 'Web.travel']",5
2022-08-25,1200000,6.2,B2B prospecting data provider for highly-targeted prospect lists,premium,193700,125450,3012,United Kingdom,2021-05-01,"Profitable SaaS with $240,000 in ARR and $167,000 in TTM revenue that provides data to small-medium digital & lead generation agencies. It combines proprietary technology with on-demand human research to build highly targeted prospect lists for your business.

âœ… $167,000 in TTM revenue
âœ… $100,100 in TTM profit
âœ… $22,550 in revenue last month
âœ… $14,657 in profit last month
âœ… Competitors: Uplead, Lusha, Apollo, Seamless",240000,100-1000,"b2b, sales, prospecting",125450,3012,"Python, NodeJS, React, AWS, Heroku","We sell 3 plans (between $99 and $599/month). Depending on the plan, users are issued credits on a monthly basis. With these credits they can request prospect lists for their lead generation activities. We then use our in-house scraping tools to identify their target businesses, and assign the list to our team of researchers who manually hunt down the contact details for each prospect.

Our margins are approximately 65%.","['Uplead', 'Lusha', 'Apollo.io', 'Seamless.ai']",8
2022-08-19,3000000,4,Sports fans mobile engagement platform leader in Europe,platinum,750000,0,76,France,2017-03-01,"SaaS with $750,000 in TTM revenue and $675,000 in annual recurring revenue that offers a white label mobile fan engagement platform to professional sports teams as a subscription model. We have the most competitive offer on the market today. We are at the center of all interactions between the fans and the team ecosystem. 

âœ… $750,000 in TTM revenue
âœ… $675,000 in annual recurring revenue
âœ… Raised 875,000 Euros and have 337,000 Euros in debt
âœ… Competitors: Origins Digital, Yinzcam, InCrowd, Livestyled

We capture the data, usage and we gamified the fan mobile experience through in-app games. Teams can ROI by selling ad spaces to partners. ",675000,10-100,"sport, mobile application, fan engagement, b2b, b2c, cms, saas, france",0,76,"AWS,Firebase","It provides a white-label mobile fan engagement platform to professional sports teams. We offer the most competitive prices for sport mobile applications. We target pro teams of all sizes and not only the bigger budgets like our competition. Our goal is to be in the pockets of all the sports fans worldwide and become the largest sports fans database in the world. 


We are a Sass business and pro team pay us a yearly subscription. In return we provide 2 native mobile applications (ios and Android) at the name and color of the team and multiple backend tools to engage with their fans, partners, sponsors and more. It's a CMS like wordpress but for sport native mobile apps. We've gamified the fan experience with a loyalty program for the fans and include partners.

We integrate with the sport ecosystem like stats APIs, CRMs, mailing lists, SSO, social media platforms like YouTube, Twitch, Instagram, Twitter and more. We are at the center of all interactions between the fans and the team as all third party services integrate our ecosystem and our mobile applications. We handle the fans identity and capture their behaviors with respect of privacy by being GDPR compliant and following Google and Apple policies to the letter.

We take care of the heavy lifting by dealing with Apple and Google on our customers behalf and provide constant application updates which is a big differentiator in the market. As a result the mobile applications evolve over time to support new OS version, features and compliance requirements from Google and Apple. Our competitors deliver a mobile apps that are frozen in time and bill customers for evolutions and code changes. 

When it come to pricing, we have a modular approach with a core package that provides most essential features. Advanced modules like segmentation, raffles, business clubs, SSO and others can be unlocked for extra cash. Most deals are signed over 3 years contract. We also charge for specific integration developments with third parties. To date we have 0% churn.

Teams can sell ad space in-app to their partners alloying them to quickly ROI on their subscription cost by selling a new digital advertisement spaces in-app. This is a key selling point as most customer can break even each year, some are profiting from the platform. It doesn't monetize the ads placement to date.

","['Yinzcam', 'Origins-Digital', 'InCrowd', 'Livestyled']",5
2022-08-12,1825000,5.5,Achieve Business Results with People Insights,platinum,330000,0,101,United States,2019-12-01,"SaaS with $336,000 in ARR and $330,000 in TTM revenue that helps create the Human Experience at work, via targeted texts. It drives business results by helping organizations to listen, engage, take action, and measure progress daily. It helps organizations become employers of choice as they become Human Experience certified and qualify for The Human Experience at Work Awards.

âœ… $330,000 in TTM revenue
âœ… $35,618 in revenue last month
âœ… Bootstrapped
âœ… Tech: Ruby on Rails, My SQL
âœ… Competitors: Qualtrics, Culture AMP",336000,10-100,"employee engagement, Human experience, employee surveys, SaaS",0,101,"Rubyrails, MYSQL","$2 - $6 PEPM, Fees adjusted according to enterprise size   Could increase to $10 as number of clients increase","['Qualtrics', 'Culture AMP']",2
2022-08-10,4000000,8,"All-in-one eMental Health solution for psychotherapists, and psychology centers. ",platinum,500000,275,250,Estonia,2020-09-01,"SaaS with $500,000 in TTM revenue and $275,000 in TTM profit that offers a platform that has all features needed to manage online counseling sessions. Some main features are being secure HIPAA compliant, having secure online video meeting system, having secure mental health records system including self reports, psychoanalysis tests, peer to peer chat, and etc.

âœ… $500,000 in TTM revenue
âœ… $275,000 in TTM profit
âœ… $40,000 in revenue last month
âœ… $22,000 in profit last month
âœ… Competitors: Betterhelp",500000,1000-10000,"video meeting, electronic medical health records, digital health",275,250,"ReactJS, AWS, Firebase, PHP",SaaS,['Betterhelp'],5
2022-08-09,2200000,5,Innovative cybersecurity firm that sells patented hardware security keys.,platinum,437305,240283,76,United States,2016-02-01,"Profitable SaaS with $437,305 in TTM revenue and $240,283 in TTM profit that is dedicated to innovating cybersecurity solutions to protect individuals and businesses from cybersecurity attacks and breaches. Its innovative product is a patented, proven hardware security key available at multiple online sales channels. With no single solution available to address all of a businessâ€™s authentication needs, organizations are left with a fragmented Identity Access Management (IAM) infrastructure. 

âœ… $437,305 in TTM revenue
âœ… $240,283 in TTM profit
âœ… Competitors: Yubico, Feitian

It closes the enterprise gap in IAM solutions. As a result, It has become a leading authentication/password management solution. The business is based in North Carolina.",0,1000-10000,"OnlyKey, OnlyKey DUO, CryptoTrust, FIDO2, Hardware Password Manager, Hardware Security Key",240283,76,Git,"The company and the product have always been a cash positive business making a profit since inception in 2016. The business strategy has been one of slow steady growth using user feedback to drive new features that appeal to the widest audience of users. This has yielded a successful and popular product that is now used in over 50 countries. It is now a stable product with many growth opportunities but in order to fully capture these opportunities the resources of a larger company are needed.
","['Yubico', 'Feitian']",10
2022-08-08,1600000,2.8,CRM and Compliance Platform for Maritime Administrations,platinum,565000,250000,48,United Kingdom,2013-04-01,"Profitable SaaS with $565,000 in TTM revenue and $250,000 in TTM profit that enables Flag States to fully comply with the broad spectrum of international conventions and approach mandatory audits without fear. The platform can be deployed on a private cloud or on-premise depending on data jurisdiction requirements.

âœ… $565,000 in TTM revenue
âœ… $250,000 in TTM profit
âœ… $120,000 in revenue last month
âœ… $45,000 in profit last month
âœ… Competitors: PDMS Maritime, Fulcrum Maritime",565000,10-100,"Maritime, Enterprise, Software",250000,48,"Rubyrails, MYSQL, Azure, GlobalSign","Enterprise SaaS, minimum 3-year contract with monthly or quarterly payments based on client procurement frameworks. Hardware sales for on-premise customers with consulting for deployment, configuration and maintenance. Additional charges for GlobalSign digital certificates and custom API integrations.","['PDMS Maritime', 'Fulcrum Maritime']",8
2022-07-16,1000000,8.2,Your fundraising sidekick,premium,122022,114915,142,United States,2019-06-01,"Profitable SaaS with $122,020 in TTM revenue and $114,915 in TTM profit that offers a streamlined, entry-level, and mobile-friendly app/CRM aimed at helping down-ballot candidates and non-profits learn how to raise money, facilitate best fundraising practices, and organize their development program. 

âœ… $114,915 in TTM revenue
âœ… $80,010 in TTM profit
âœ… $10,271 in revenue last month
âœ… $5,158 in profit last month
âœ… Competitors: Bloomerang, ActBlue, EveryAction",29315,100-1000,"CRM, Fundraising, Fintech, political, non-profit, non profit, mission, freemium, saas",114915,142,"Firebase, Stripe","Credit Card Revenue (2% of all credit card transactions),  SaaS (Freemium and monthly subscriptions), Data (consumer and donor)","['Bloomerang', 'ActBlue', 'EveryAction']",12
2022-07-16,2000000,7.7,Postal mailing service powering self-service transactional and direct mail campaigns for businesses,platinum,260000,10000,2500,United States,2021-05-01,"Profitable SaaS with $260,000 in TTM revenue and $10,000 in TTM profit that offers bootstrapped direct postal mail and transactional mail startup started in May 2021 with rapid growth.  $260K TTM revenue with 37% MOM growth. 

âœ… $260,000 in TTM revenue
âœ… $10,000 in TTM profit
âœ… $40,000 in revenue last month
âœ… $2,000 in profit last month
âœ… Competitors: Mailform, Switch, Postalocity, LetterStream, Click2Mail

The service is popular for both single-use needs and as a long-term part of usersâ€™ stack. It has served 10,000 paying customers to date. ",24000,10000-100000,"postal mail, direct mail, postcards, letters",10000,2500,"AWS,Bubble","On-demand or account balance top-up for mailing campaigns, with a small SaaS subscription component for additional features.","['Mailform', 'Switch', 'Postalocity', 'LetterStream', 'Click2Mail']",0
2022-07-13,8000000,4.4,Customer engagement SaaS platform providing loyalty and payment services for restaurants.,platinum,1800000,350000,20,Canada,2011-05-01,"Profitable SaaS with $1,800,000 in TTM revenue and $150,000 in revenue last month that provides white-label customer engagement solutions for restaurants and retailers. If you have ever downloaded an app for a restaurant, it was built by a company like ours. We service over 100 restaurant and retail brands in 20+ different countries and in 4 different languages.

âœ… $1,800,000 in TTM revenue
âœ… $150,000 in revenue last month
âœ… $37,000 in profit last month
âœ… Raised $900,000 in convertible notes, $350,000 in debt
âœ… Competitors: Paystone, Paytronix, Givex, Como",1800000,100-1000,"loyalty, point of sale, rewards, gift cards, payments, restaurant, retail, mid market, pos, consumer data, campaigns, data",350000,20,LAMP,SaaS. We charge a monthly fee based on the number of participating stores and features consumed. The fee may range from $30 to $200/store/month. Our revenue is almost exclusively SaaS.,"['Paystone', 'Paytronix', 'Givex', 'Como']",11
2022-07-12,1000000,4.2,"Mobile-first Compliance SaaS biz disrupting desktop-based competitors, in billion-dollar industry. ",premium,240000,200000,10,Switzerland,2016-06-01,"Profitable SaaS with $240,000 in TTM revenue and $200,000 in TTM profit that delivers instant Compliance Programs to SMBs and Corporates worldwide. All revenues are inbound as the company has no sales or marketing activities, due to a small team running 3 startups. 

âœ… $240,000 in TTM revenue
âœ… $100,000 in TTM profit
âœ… $23,000 in revenue last month
âœ… $8,000 in profit last month
âœ… Competitors: EQS Group AG, Navex, OneTrust, GAN Integrity

Already an acquisition target of large competitors, the company has huge growth potential with an industry-only Last Mile compliance solution. It delivers policies, training, certifications, risk assessments, etc. to employees, but also non-office workers without company email or devices. 

Demo
https://vimeo.com/726917373/bba0248a8e",240000,10-100,Mobile-first. Last mile compliance. Compliance as a Service,200000,10,AWS,We charge $1 per employee per month although cap with large clients (one client with 100.000 employees).,"['EQS Group AG', 'Navex', 'OneTrust ', 'GAN integrity ']",9
